pname,cname,effect,dosage,dprecaution,interaction,side_effect,storage
벤즈날정(트리메부틴말레산염),(주)마더스제약,"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토), 과민성대장증후군 및 경련성 결장, 소아 질환(습관성 구토, 비감염성 장관통과장애 (변비, 설사))에 사용합니다.
","성인은 1회 1~2정(100-200mg) 1일 3회 식전에 복용합니다.

연령, 증상에 따라 적절히 증감합니다.
","이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.
",,"드물게 변비, 설사, 복명(창자 가스소리), 구역, 구토, 소화장애, 구갈(목마름), 구내(입안)마비감, 심계항진(두근거림), 피로감, 졸음, 현기(어지러움), 권태감, 두통, GOT, GPT 상승, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.
"
자이드캡슐(니푸록사지드),(주)마더스제약,이 약은 급성 세균성 설사에 사용합니다.,"성인은 1회 1캡슐(200 mg)을 1일 4회 복용합니다.3일 이상 복용하지 않습니다.복용 기간 동안 수분을 공급하고 설사의 심각도, 환자의 나이와 상태에 따라 수분의 정도와 공급방법을 조절합니다.","이 약에 과민증 환자, 만 18세 미만의 소아 및 청소년은 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.치료 후 2일이 지난 후에도 설사가 지속되는 경우 경구 혹은 정맥 수분 보충을 고려하거나 의사 또는 약사와 상의하십시오.","설사 중 생야채, 과일, 녹색채소, 매운 음식과 얼린 음식 및 음료를 피하고 가능한 익힌 음식(고기, 쌀)을 섭취하십시오.","피부발진, 두드러기, 혈관부종, 아나필락시스쇽 같은 과민반응이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
헬민200연질캡슐(아르기닌티디아시케이트),동화약품(주),이 약은 간기능장애의 보조 치료에 사용합니다.,"성인은 1회 100∼200 mg, 1일 2회 식후에 복용합니다.","15세 이하의 어린이, 심한 신부전 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.1개월 정도 복용하여도 증상의 개선이 없을 경우 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.",,이상반응이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
삼천당산화마그네슘정250밀리그람,삼천당제약(주),"이 약은 위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용합니다.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 2~4정(0.5~1 g)을 수회(여러 차례) 분할 복용, 변비증에는 1일 8정(2 g)을 1~2회 분할 복용합니다.다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.","신장애, 설사 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 심기능 장애, 고마그네슘혈증 환자, 고령자(만 65세 이상)는 의사 또는 약사와 상의하십시오.이 약의 흡착작용 또는 소화관내 체액의 pH 상승에 의해 병용 약물의 흡수, 배설에 영향을 줄 수 있으므로 신중히 투여합니다.","이 약을 복용하는 동안 테트라사이클린계 항생물질을 복용하지 마십시오.다량의 우유, 칼슘제제와 함께 복용 시 의사 또는 약사와 상의하십시오.","일어섰을 때 느끼는 현기증, 맥이 느려짐, 강한 졸음, 의식이 희미해짐, 숨막힘, 근력저하, 구강건조, 구토가 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.마그네슘 중독증상, 때때로 설사 등이 나타날 수 있습니다.",실온에서 보관하십시오.
아비나파스타(트리암시놀론아세토니드),태극제약(주),"이 약은 만성 박리성 치은염, 미란 또는 궤양을 수반하는 난치성 구내염 및 설염에 의한 염증의 완화에 사용합니다.","1일 1~수회 환부에 적당량을 바릅니다.연령, 증상에 따라 적절히 증감할 수 있습니다.","이 약에 과민증 환자, 구강의 결핵성, 바이러스성, 기타 화농성 감염증, 매독, 수두, 진균증, 세균성 피부감염, 입주위 피부염, 주사(rosacea), 비타민 C 부족에 의한 치은염 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 프로필렌글리콜에 과민증 환자 또는 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성, 유아 및 소아, 고령자는 의사 또는 약사와 상의하십시오.사용 후 바로 음식을 먹지 마십시오.안과용으로 사용하지 마십시오.",,"구강내에 마비감 등의 경미한 불쾌감, 미각의 이상이나 감퇴, 사용 부위의 이화감 등이 나타날 수 있습니다.구강의 진균성 및 세균성 감염증, 드물게 알레르기성 피부반응 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.
보령뮤코미스트액(아세틸시스테인),(주)보령,"이 약은 기관지천식, 만성기관지염, 기관지확장증, 폐결핵, 폐기종, 상기도염(인·후두염), 폐화농증, 폐렴, 낭성섬유증, 수술후 폐합병증의 객담배출곤란과 기관지조영, 기관지경 검사, 폐암 세포진, 기관절개술의 전·후 처치에 사용합니다.
","안면마스크, 마우스피스, 기관누공형성술을 이용한 분무요법은 1~10 mL를 2~6시간마다 분무합니다. 추천양은 3~5 mL를 1일 3~4회 분무합니다.

분무텐트 및 흡입기(Croupette)를 이용한 분무요법은 특별한 경우에 필요한 방법으로 환자의 개인적 요구 및 투여방법의 편이도에 따라 개인적으로 사용합니다. 이 투여방법에는 많은 양의 용액이 필요하여, 때때로 1회 치료 시 300 mL정도까지 요구되는 수도 있습니다. 추천양은 치료기간동안 천막이나 흡입기내에 매우 농도가 짙은 안개 같은 상태를 유지할 수 있는 용량이어야 합니다. 간헐적 또는 계속적으로 장기간 투여하는 것이 바람직합니다.

직접 주입하는 경우 1~2 mL을 1시간마다 투여합니다.

기관누공형성술을 한 환자의 정기적 치료에는 1~2 mL을 기관누공을 통해 1~4시간마다 투여합니다.

국소마취와 직접 절개를 하여 기관내로 작은 플라스틱 카테타를 삽입하여 폐기관 수지상 구조의 특정부분에 직접 투여하는 경우 카테타와 연결된 주사기를 이용하여 2~5 mL를 1~4 시간마다 투여합니다.

진단용 기관지 조영시 기관지 조영 실시전에 1~2 mL를 2~3회 분무용법 또는 기관지내 주입법에 의해 투여합니다.
","이 약에 과민증 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 기관지천식, 호흡기능부전을 수반한 환자, 고령자, 소아는 의사 또는 약사와 상의하십시오.

주사제 또는 점안제로는 사용하지 않습니다.

분무요법후 안면 마스크가 얼굴에 밀착되는 수가 있으나 물로 세척하면 쉽게 떨어집니다.
","항생물질과 병용할 필요가 있는 경우에는 각각 흡입하거나 항생물질을 주사 또는 경구투여합니다.
","가벼운 취기(유황취), 때때로 구역, 구토, 식욕부진, 드물게 혈담, 오한, 발열, 비루, 구내염, 졸음, 흉부압박감, 기관 및 기관지에 대한 자극 등이 나타날 수 있습니다.
","빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
벤투룩스30mg캡슐(엔테로코쿠스페슘스트레인세르넬레68균),(주)동구바이오제약,"이 약은 장내균총 이상(항생물질, 화학요법제 투여 등)에 의한 정장, 변비, 묽은 변, 복부팽만감, 장내이상발효의 개선에 사용합니다.","성인은 1회 1캡슐(30 mg)씩 1일 3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 황색5호에 과민증 환자 또는 경험자, 3개월 미만의 영아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.1개월 정도 투여하여도 증상의 개선이 없을 경우에는 복용을 중지하고 의사 또는 약사와 상의하십시오.","테트라사이클린, 암피실린, 클로람페니콜, 세팔로리딘과 함께 사용 시 의사 또는 약사와 상의하십시오.",,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
아낙스정(나프록센나트륨),환인제약(주),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(삠, 타박상, 상처, 허리통증), 수술 후 통증, 편두통, 발치 후 통증에 사용합니다.
","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg)씩, 1일 2회 12시간마다 복용합니다.

급성통풍에 성인은 처음 복용량으로 3정(825 mg)을 복용하고, 발작이 없어질 때까지 8시간 간격으로 1정(275 mg)을 복용합니다.

골격근장애, 수술후 통증, 발치 후 통증, 월경곤란증, 힘줄염, 활액(윤활)낭염에 성인은 처음 복용량으로 2정(550 mg)을 복용하고 6~8시간 간격으로 1정(275 mg)씩 투여합니다. 1일 총용량이 1,350 mg을 초과하지 않도록 합니다.

편두통에 성인은 처음 복용량으로 3정(825 mg)을 복용합니다. 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 처음 복용량의 복용 30분 후에 복용합니다. 1일 총용량이 1,350 mg을 초과하지 않도록 합니다.

연령, 증상에 따라 적절히 증감할 수 있습니다.
","이 약에 과민증, 임부, 수유부, 2세 이하의 영아, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증 치료 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 임부 및 임신하고 있을 가능성이 있는 부인, 소아, 고령자, 소화성궤양 경험자, 혈액이상 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 신혈류량 저하, 심기능 장애, 고혈압, 과민증, 기관지천식, 전신성홍반성루푸스 및 혼합결합조직질환 환자는 의사 또는 약사와 상의하십시오.
","다른 비스테로이드성 소염진통제, 나프록센 유도체, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.

히단토인계 항뇌전증약, 설파제, 설포닐요소계 혈당강하제, 프로프라놀롤 및 다른 -차단제, ACE억제제(캅토프릴 등), 루프계 이뇨제 및 티아지드계 이뇨제, 프로베네시드, 아스피린, 리튬, 저용량의 메토트렉세이트, 쿠마린계 혈액응고저지제(와파린 등), 지도부딘, 뉴퀴놀론계 항생물질(에녹사신 등)과 함께 복용 시 의사 또는 약사와 상의하십시오.
","드물게 쇽 증상(호흡곤란, 혈압강하, 느린 맥, 식은땀, 부기), PIE증후군(호산구증가를 수반하는 폐침윤: 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 혈액구토, 위장출혈, 소화성궤양, 뚫림, 무과립구증, 호산구증가, 백혈구감소, 혈소판감소, 재생불량성빈혈, 적혈구파괴성빈혈, 혈소판기능저하(출혈시간의 연장), 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애 등), 습진, 땀이 남, 자주색 반점, 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 여러 모양의 붉은 반점, 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증, 호산구 증가 및 전신 증상 동반 약물 반응, 고정약물발진, 탈락성 피부염 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

때때로 위부불쾌감, 위통, 복통, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 입안염, 드물게 복부팽만감, 흑변, 구갈, GOT, GPT 수치의 상승, 황달, 간염, 신장애, 사구체 신염, 혈뇨, 고칼륨 혈증, 간질성 신염, 신증후군, 콩팥 유두괴사, 단백질이 섞인 오줌, 신부전, 때때로 졸음, 인식기능장애, 드물게 어지러움, 두통, 수족저림, 정력감퇴, 피로, 우울, 비정상적인 꿈, 집중능력 상실, 방향감각장애, 불면, 근육통, 근쇠약, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 두근거림, 근육무력증, 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 등이 나타날 수 있습니다.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
오스틴이부프로펜정400밀리그램,오스틴제약(주),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염), 어린이 급성 상기도염의 발열에 사용합니다.
","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 

연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.

11~14세는 1회 200~250 mg, 7~10세는 1회 150~200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.

체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.

권장용량을 초과하여 복용하지 마십시오.

좌제의 경우 어린이는 1회 체중 kg당 3~6 mg 씩, 1일 2회 직장 내 깊이 삽입합니다.

연령, 증상에 따라 적절히 증감합니다.
","이 약에 과민증 환자, 위장관궤양, 위장관 출혈 또는 경험자, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지천식 또는 경험자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 천식, 두드러기, 알레르기 반응과 같은 과민 증 또는 경험자, 관상동맥(심장동맥) 우회로술 전후 통증발생 환자, 임신 말기 3개월 기간에 해당하는 임부, 항암요법으로 고용량 메토트렉세이트를 복용중인 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간경화, 간장애 또는 경험자, 신장장애 또는 경험자, 심장기능부전 또는 심질환, 고혈압, 과민증 반응 경험자, 전신성홍반성루푸스 및 혼합 결합조직질환 환자, 궤양성대장염, 크론병, 고령자 및 소아, 임부, 수유부는 의사 또는 약사와 상의하십시오.

이 약의 권장용량을 초과하여 복용하지 마십시오.
","다른 비스테로이드성 소염진통제, 저용량 아스피린, 메토트렉세이트와 함께 복용하지 마십시오.

ACE 저해제, 리튬, 푸로세미드 및 치아짓계 이뇨제, 메토트렉세이트, 쿠마린계 항응혈제(와파린 등), 선택적 세로토닌 재흡수억제제와 함께 복용 시 의사 또는 약사와 상의하십시오.
","쇽 증상(가슴쓰림, 오한, 호흡곤란, 혈압저하), 헤마토크릿, 헤모글로빈 감소, 빈혈, 재생불량성빈혈, 용혈성빈혈, 무과립구증, 과립구, 백혈구, 혈소판감소, 혈소판기능저하(출혈시간 연장), 호산구증가 등의 혈액장애, 소화성궤양, 위장관궤양, 위장출혈, 천공(뚫림), 궤양성 대장염, 혈변, 위염, 췌장염, 혈액구토, 크론병, 식욕부진, 구역, 구토, 복통, 소화불량, 설사, 위부불쾌감, 상복부 통증, 구갈, 구내염, 복부팽만감, 구강궤양, 변비, 흑변, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), 광민감 반응, 호산구 증가 및 전신 증후군을 동반한 약물 발진(DRESS 증후군), 혈관신경성 부종, 수포성피부염, 다형성 홍반, 반구진 발진, 피부 붉어짐, 물집, 발진, 탈락 피부염, 급성전신발진고름물집증, 간염, 황달, GOT, GPT, ALP의 상승 등과 같은 간기능이상, 간장애, 과민증 또는 아나필락시스 반응, 천식발작, 두드러기, 습진, 자반(자주색반점), 발진, 가려움증, 천식, 기관지수축, 호흡곤란 또는 쌕쌕거림, 시야불능부위 등 시각장애, 난청(귀먹음), 귀울림, 미각이상, 현기증, 졸음, 어지러움, 우울, 두통, 뇌혈관 사고 또는 신경질, 무균성 수막염 또는 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애 등의 증상), 혈압저하, 혈압상승, 심계항진(두근거림), 심부전, 심근경색증 또는 협심증, 급성신부전, 핍뇨(소변감소), 혈뇨, 요단백, BUN, 혈중크레아티닌의 상승, 고칼륨혈증, 간질성 콩팥염, 콩팥염증후군, 콩팥유두괴사, 요량 감소, 전신부종 및 이에 수반하는 숨가쁨, 나른함, 눈주변 부기, 얼굴부기, 권태감, 발열, 코피, 말초부종 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","어린이의 손이 닿지 않는 곳에 보관하십시오.
"
뮤테란과립200밀리그램(아세틸시스테인),한화제약(주),"이 약은 급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증의 질환에서 객담배출곤란에 사용합니다.","급성질환에 성인은 1회 1포(200 mg)씩, 1일 3회, 6~14세는 1회 1포(200 mg)씩, 1일 2회, 2~5세는 1회 1/2 포(100 mg)씩, 1일 3회 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1포(200 mg)씩, 1일 2회, 6~14세는 1회  1/2 포(100 mg)씩, 1일 3회 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1포(200 mg)씩, 1일 3회, 2~5세는 1회 1/2 포(100 mg)씩, 1일 4회 소량의 물과 함께 복용합니다.","이 약에 과민증 환자, 위•십이지장궤양, 2세 미만 영아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.","경구용 항생물질(아목시실린, 세푸록심, 독시사이클린, 에리트로마이신, 티암페니콜)과 함께 복용 시 적어도 2시간 간격을 두고 복용하십시오.이 약의 용액에 다른 약물의 첨가는 피하십시오.","드물게 구역, 구토, 구내염, 가슴쓰림, 설사, 두드러기, 가려움, 발진, 두통, 이명, 기관지경련(특히 천식 환자), 빈맥, 고혈압 등이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
하이플포비돈요오드액,하이플생명과학(주),"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.
","1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.
","이 약에 과민증 환자, 갑상선 기능 이상(특히 결절성 갑상선종, 지방병성 갑상선종, 하시모토갑상선염 등), 신부전, 신생아 및 6개월 미만의 영아, 포진상 피부염, 방사성요오드 치료 전후 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 중증의 환자(화상 환자 등), 갑상선질환, 신부전 경험자, 임부 또는 수유부는 의사 또는 약사와 상의하십시오.

안과용 및 내복용으로 사용하지 마십시오.

눈에 들어가지 않도록 주의하고, 만일 눈에 들어갔을 경우 즉시 깨끗한 물로 씻어내십시오.

다른 제제와 혼합해서 사용하지 마십시오.

환부를 깨끗이 씻고 소독하십시오.

중증의 창상에 사용하는 경우의 희석액으로는 주사용 증류수 또는 멸균정제수를 사용하고, 수도물이나 정제수를 사용하지 마십시오.

비누류는 이 약의 살균작용을 약화시키므로 충분히 씻어 제거한 후 사용하십시오.
","과산화수소를 함께 사용하지 마십시오.

리튬제제, 클로르헥시딘, 설파디아진 은화합물, 알칼리, 수은을 함유한 제제, 효소성분의 상처치료제를 함께 사용 시 의사 또는 약사와 상의하십시오.
","드물게 아나필락시양 증상(호흡곤란, 조홍, 두드러기 등), 요오드진, 때때로 동통, 가려움, 자극감, 발진, 발적, 피부염, 드물게 작열감, 피부궤양, 접촉피부염, 피부변색이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","빛을 피해 실온에서 보관하십시오.
"
엔디현탁액(시메티콘),하이플생명과학(주),"이 약은 위내시경 검사 시 장내기포제거와 복부(배부분) X선 촬영 시 장내가스제거, 위장관내 가스로 인한 복부팽만감 및 공기연하증(공기삼킴증) 등)의 개선에 사용합니다.
","위내시경 검사 시 장내기포제거에 성인은 검사 15~40분전에 이 약 40~80 mg를 약 10 mL의 물과 함께 복용합니다.

복부(배부분) X선 촬영 시 장내가스제거에 성인은 검사 3~4일전부터 1회 이 약 40~80 mg, 1일 3회 식후 또는 식간(식사 때와 식사 때 사이에)에 복용합니다.

위장관내 가스로인한 복부(배부분)증상의 개선에 성인은 1회 이 약 40~80 mg, 1일 3회 식후 또는 취침 시에 복용합니다.

잘 흔들어 사용하십시오.
","이 약은 벤조산나트륨을 포함하고 있으며 벤조산은 피부, 눈, 점막에 경미한(가벼운) 자극이 될 수 있습니다.

이 약을 사용하기 전에 아황산 감수성 환자는 의사 또는 약사와 상의하십시오.
",,"때때로 연변(묽은 변), 복부불쾌감, 설사, 배아픔, 구토, 구역, 복부중압감, 식욕부진, 드물게 두통이 나타날 수 있습니다.
","습기와 빛을 피해 실온에서 보관하십시오.

뚜껑을 꼭 닫아 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
트레스오릭스훠트정,신일제약(주),"이 약은 식욕부진에 사용합니다.
","성인은 1회 2정씩, 1일 2회 아침·저녁 식전에 8일간 복용하고, 이후부터는 1회 4정씩, 1일 2회 아침·저녁 식전에 복용합니다.
","이 약에 과민증 환자, 녹내장, 요저류 환자, 고령자, 쇠약자, 신생아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 과염소성 혈증성 산증, 신부전 환자, 황색5호 과민증 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","MAO 억제제, 알코올과 함께 복용하지 마십시오.
","어지러움, 구역, 발진, 권태감, 정신적 혼란, 식욕부진, 졸음, 드물게 두통, 목마름, 대사성 산증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.
"
메디락디에스장용캡슐,한미약품(주),"이 약은 정장, 변비, 묽은 변, 복부팽만감, 장내 이상발효에 사용합니다.
","성인 및 12세 이상의 소아는 1회 1/2캡슐~1캡슐(125~250 mg)을 1일 1~3회 복용합니다.
","이 약은 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
메디락에스산,한미약품(주),"이 약은 정장, 변비, 묽은 변, 복부팽만감, 장내 이상발효에 사용합니다.","성인 및 12세 이상의 소아는 1회 2~4포(125~250 mg) 1일 1~3회, 3세 이상~12세 미만은 1회 1~2포(62.5~125 mg), 3개월 이상~3세 미만은 1회 1포(62.5 mg)를 1일 1~2회 복용합니다.","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
자비론정(독시라민숙신산염),(주)씨엠지제약,이 약은 불면증의 보조치료 및 진정에 사용합니다.,성인은 1일 1회 1정(25 mg)을 반드시 수면 30분 전에 복용합니다.연령과 증상에 따라 적절히 증강할 수 있습니다.,"폐기종, 만성 기관지염 천식 등의 호흡장애, 녹내장, 전립선 비대 환자, 수유부, 15세 이하의 소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 및 임신을 하고 있을 가능성이 있는 사람은 의사 또는 약사와 상의하십시오.복용 후 과도한 진정이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.의사 또는 약사와 상의 없이 2주 이상 투여하지 마십시오.","이 약을 복용하는 동안 이미프라민계 항우울약, 항파킨슨제, 디소피라미드와 함께 복용하지 마십시오.복용 중에는 음주하지 마십시오.",때때로 항콜린작용이 나타날 수 있습니다.,빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
하로나연고,알파제약(주),"이 약은 네오마이신 감수성 세균에 의해 2차 감염된 코르티코이드 반응성 피부질환의 초기 치료(피부염, 감염된 상처)에 사용합니다.",1일 1~2회 적당량을 환부(질환 부위)에 바릅니다.,"이 약 또는 스트렙토마이신, 카나마이신, 겐타마이신, 네오마이신 등 아미노글루코사이드계 항생 물질 또는 바시트라신에 과민증 환자, 피부감염증(피부결핵, 매독, 칸디다증, 백선, 대상포진, 단순포진, 수두, 종두증, 옴, 사면발이), 고막 천공이 있는 습진성 외이도염, 궤양(베체트병 제외), 제2도 심재성 이상의 화상 및 동상, 입주위피부염, 보통여드름, 주사 환자는 이 약을 사용하지 마십시오.눈 또는 눈주위에 사용하지 마십시오.이 약을 사용하기전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 유ㆍ소아, 프로필렌글리콜에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.안과용으로 사용하지 마십시오. 만일 눈에 들어간 경우에는 즉시 물로 씻고, 증상이 심할 경우에는 안과의사의 치료를 받으십시오.화장이나 면도 후 등 치료 이외의 목적으로 사용하지 마십시오.의사의 감독없이 밀봉붕대법을 사용하지 마십시오.",,"전염성농가진, 모낭염, 바이러스성 감염증, 부스럼, 피부자극, 자통, 발열, 작열감, 발진, 발적, 홍조, 가려움, 부종, 구진, 소수포, 피부건조, 농포성피부염, 알레르기성 접촉피부염, 2차감염, 피부거칠어짐, 땀띠, 상처악화, 욕창, 농포증, 안검피부에 사용시 안압 상승, 녹내장 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.전신 흡수로 인해 가역적인 시상하부-뇌하수체-부신축의 억제, 쿠싱증후군, 과혈당증, 당뇨와 시력장애 등이 나타날 수 있습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
